,index,article,simpSent,standSent,typeOfMatch
0,0,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
1,2,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,It is the study of transmutation .,0.0
2,4,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,It was first studied to learn how to change lead into gold .,0.0
3,6,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"It is similar to chemistry , but much older .",0.0
4,8,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,People who studied alchemy were called alchemists .,0.0
5,10,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
6,12,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
7,14,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
8,16,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
9,18,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
10,20,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
11,22,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
12,24,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemy is not a science any more .,0.0
13,26,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
14,28,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
15,30,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
16,32,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
17,34,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
18,36,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
19,38,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
20,40,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
21,42,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",It is the study of transmutation .,0.0
22,44,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",It was first studied to learn how to change lead into gold .,0.0
23,46,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","It is similar to chemistry , but much older .",0.0
24,48,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",People who studied alchemy were called alchemists .,0.0
25,50,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
26,52,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
27,54,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
28,56,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
29,58,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
30,60,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
31,62,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
32,64,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Alchemy is not a science any more .,0.0
33,66,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
34,68,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
35,70,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
36,72,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
