,Unnamed: 0,index,article,simpSent,standSent,typeOfMatch,predicted
0,0,0,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"Alchemy is a study of the basic elements called fire , water , earth and air .",0.0,0
1,1,2,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,It is the study of transmutation .,0.0,0
2,2,4,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,It was first studied to learn how to change lead into gold .,0.0,0
3,3,6,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,"It is similar to chemistry , but much older .",0.0,0
4,4,8,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,People who studied alchemy were called alchemists .,0.0,0
5,5,10,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0,0
6,6,12,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0,0
7,7,14,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0,0
8,8,16,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0,0
9,9,18,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0,0
10,10,20,Alchemy,Alchemy is an influential philosophical tradition whose early practitioners ' claims to profound powers were known from antiquity .,Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0,0
