,article,simpSent,StandSent,typeOfMatch,standSent
0,Alphonse_Mucha,"Alfons Maria Mucha ( Czech pronunciation : ( ˈalfons ˈmuxa ) ( listen ) ; 24 July 1860 - 14 July 1939 ) , known in English as Alphonse Mucha , was a Czech Art Nouveau painter and decorative artist , known best for his distinct style .",,0,"He was frustrated at the fame he gained through commercial art , when he most wanted to concentrate on more lofty projects that would ennoble art and his birthplace ."
1,Alphonse_Mucha,"He produced many paintings , illustrations , advertisements , postcards , and designs .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women ."
2,Alphonse_Mucha,"He produced many paintings , illustrations , advertisements , postcards , and designs .",,1,"He produced many paintings , illustrations , advertisements , and designs ."
3,Alphonse_Mucha,"He produced many paintings , illustrations , advertisements , postcards , and designs .",,0,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations ."
4,Alphonse_Mucha,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou was posted in the city , where it attracted much attention .",,0,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations ."
5,Alphonse_Mucha,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou was posted in the city , where it attracted much attention .",,0,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris ."
6,Alphonse_Mucha,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou was posted in the city , where it attracted much attention .",,1,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou appeared on the streets of the city ."
7,Alphonse_Mucha,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou was posted in the city , where it attracted much attention .",,1,It was an overnight sensation and announced the new artistic style and its creator to the citizens of Paris .
11,Alphonse_Mucha,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou was posted in the city , where it attracted much attention .",,0,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .
12,Alphonse_Mucha,"In addition to his studies , he worked at producing magazine and advertising illustrations .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women ."
13,Alphonse_Mucha,"In addition to his studies , he worked at producing magazine and advertising illustrations .",,0,"He produced many paintings , illustrations , advertisements , and designs ."
14,Alphonse_Mucha,"In addition to his studies , he worked at producing magazine and advertising illustrations .",,1,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations ."
15,Alphonse_Mucha,"In addition to his studies , he worked at producing magazine and advertising illustrations .",,0,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris ."
16,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,0,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou appeared on the streets of the city ."
17,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,0,It was an overnight sensation and announced the new artistic style and its creator to the citizens of Paris .
18,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,1,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .
